File,Review date,Source string
Drugs/alteplase for massive PE.pdf,2025-02-28,review date: february 2025  | review date: february 2025  | review date: february 2025  | review date: february 2025  | review date: february 2025  | review date: february 2025 
Infection_and_sepsis/Initial investigation and management in unidentified Infections.pdf,2025-02-28,review date: feb 2025 date of authorisation: 4 feb 2022 | 11. review for possible inflammatory conditions that could mimic sepsis including vasculitis  | etc. review the history of possible immunocompromising conditions.  | review date: feb 2025 date of authorisation: 4 feb 2022
Drugs/labetalol.pdf,2025-02-28,review date: february 2025  | review date: february 2025 
Neurological/Intrathecal policy RIE.pdf,2025-02-28,review date: february 2025 for critical care use only | it is the responsibility of the trainers to ensure regular review and update of the list of accredited intrathecal practitioners within their area of responsibility. | review date: february 2025 for critical care use only
Drugs/nimodipine.pdf,2025-04-29,review date: april 2025  | review date: april 2025 
Drugs/salbutamol.pdf,2025-04-29,review date: april 2025  | review date: april 2025 
Routine_Care/ICU Eye Care Guideline.pdf,2025-05-29,next review :  may 2025  | if patient verbal and asymptomatic – ophthalmology review within 2 weeks if patient verbal and symptomatic (i.e. blurred vision) – urgent ophthalmology review | if patient verbal and symptomatic (i.e. blurred vision) – urgent ophthalmology review if patient non-verbal (intubated or unable to communicate) – ophthalmology review within 1 week | if patient non-verbal (intubated or unable to communicate) – ophthalmology review within 1 week  | next review :  may 2025 
Drugs/phenobarbitone.pdf,2025-05-29,review date: may 2025  | review date: may 2025  | review date: may 2025  | review date: may 2025 
Procedures/Arterial Line insertion for ACCPs.pdf,2025-05-29,next review :  may 2025  | next review :  may 2025 
Neurological/Ventriculitis Guideline.pdf,2025-06-29,next review:  june 2025  | •  treatment with intrathecal antibiotics is usually continued for at least 10 days with frequent review by  | csf drain-associated ventriculitis: a review and meta-analysis. neurology. 2019 nov 26;93(22):964- 972. pmid: 31659095. | protocol on infection rates and a review of the literature. br j neurosurg. 2006 oct;20(5):296-300. pmid: 17129877
Infection_and_sepsis/Ventriculitis.pdf,2025-06-29,next review:  june 2025  | •  treatment with intrathecal antibiotics is usually continued for at least 10 days with frequent review by  | csf drain-associated ventriculitis: a review and meta-analysis. neurology. 2019 nov 26;93(22):964- 972. pmid: 31659095. | protocol on infection rates and a review of the literature. br j neurosurg. 2006 oct;20(5):296-300. pmid: 17129877
Cardiovascular/Pulmonary_Embolism_and_DVT/Catheter directed thrombolysis of iliofemoral DVT alteplase_pub.pdf,2025-07-29,review date: july 2025  | review date: july 2025 
Cardiovascular/Cardiac Output Monitoring _pub.pdf,2025-07-29,next review: july 2025  | 7.  review boluses; touch “accept” 
Airway/Tracheostomy_Laryngectomy/Decannulation Guidline.pdf,2025-08-29,next review: aug 2025  | re-review planned procedure and ensure confident of plan in event of airway emergency | *currently under review 
Procedures/Inadvertent Catheter Placement Guideline.pdf,2025-10-29,next review :  oct 2025  | next review :  oct 2025 
GI_Liver_and_Transplant/Upper GI bleeding  (Endoscopy) guideline for critical care.pdf,2025-10-29,review date: october 2025 date authorisation: september 22nd 2022 | review date: october 2025 date authorisation: september 22nd 2022
Breathing(Respiratory)/Proning Guideline.pdf,2026-01-29,review date: jan 2026 date authorised: | review date: jan 2026 date authorised:
Procedures/ACCP CVC placement following completion of initial competencies.pdf,2026-03-29,next review :  march 2026  | next review :  march 2026 
Procedures/ACCPs acquiring initial CVC competencies.pdf,2026-03-29,next review :  march 2026  | next review :  march 2026 
Post_op_care/Prevention and treatment of paraplegia after major aortic procedures.pdf,2026-03-29,vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026  | vascular anaesthesia group – version 1.7 – published march 2021 – review date march 2026 
Breathing(Respiratory)/Equipment/NIV Set up in Critical Care.pdf,2027-01-29,next review :  jan 2027  | next review :  jan 2027  | next review :  jan 2027  | next review :  jan 2027 
Transfer/Transfer Guidelines.pdf,2027-02-28,status draft/final: final review date: feb 2027 authoriser: | o  review abg o  tracheostomy box | o  review bm + electrolytes o  pain assessment | status draft/final: final review date: feb 2027 authoriser:
Post_op_care/Open TAAA Surgery - Post Op.pdf,2027-06-29,dr i young / dr a ruthven / mr o falah. published june 2022. review june 2027. 
Post_op_care/Open Infra And Juxta-Renal Aortic Surgery Post Op Care.pdf,2027-06-29,dr i young / dr a ruthven / vascular surgical consultant group. published june 2022. review june 2027. 
Post_op_care/Endovascular Aortic Procedures Post Op Care.pdf,2027-06-29,dr i young / dr a ruthven / dr n masson / vascular surgical consultant group. published june 2022. review june 2027. 
